Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
422--Fixed Vegetable Fats & Oils; Crude,2327493,443233,2579068,3048609,2504928,2725041,3232063,1823576,1473051,696251,1639190,745109,1067350,1484025,1348950
421--Fixed Vegetable Fats & Oils,978399,2275793,2362050,3309891,1259427,485823,1195610,2016181,3366648,474488,699729,446966,249465,120854,692982
411--Animal Oils And Fats,2515344,2441049,2745750,2386821,3629078,3437854,3327211,3310719,3729024,9102032,5851555,7778937,4444953,5861987,5206496
344--Petroleum Gases & Other Gaseous Hydrocarbons,523837,126211,1111225,157662,670121,4197,4513077,5778236,37885931,40179889,27380032,8848900,17754622,250115,205708
343--Natural Gas; Whether Or Not Liquefied,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342--Liquefied Propane And Butane,0,587910,0,4112,5915,0,0,0,64540,121041,135072,26326,16582,32077,52274
335--Residual Petroleum Products,27882747,72908175,164399063,114962587,122428924,59417744,146611280,77020276,35932099,36042102,26509931,34346572,34459265,36921644,29900488
334--Oil (Not Crude),477939729,523061333,884142991,1731927064,1669645647,2094077968,1867481144,671803896,233089979,259286524,268322065,385514377,376980262,294278198,157480913
333--Crude Oil,0,0,0,27248721,0,0,0,0,0,0,0,0,0,0,0
325--Coke and Semicoke Of Coal,72224,107002,23419,0,11991,0,6692,7870863,2091,0,0,0,0,2269,18057
322--Briquettes; Lignite And Peat,33238,82703,99394,105791,101195,257635,112860,69446,100272,250781,164787,322126,310032,703542,663576
321--Coal; Pulverized Or Not,0,0,0,5539,0,5275,56773,10560,0,0,0,0,0,4578,27832
292--Crude Vegetable Materials,35722464,42589085,46982927,42469823,48084222,55808360,52912376,47630765,53300431,59949204,63766011,73967958,77355491,85533137,101746528
291--Crude Animal Materials,5379814,4297966,7230269,9410288,6065332,4345160,6240056,5124817,6197775,7966734,6389587,9042433,8754840,9280591,12026340
289--Ores & Concencentrate Of Precious Metal,25098092,13293560,15675745,10918111,114939018,244704141,372481256,178524178,296983243,391958743,373717396,371250355,311860763,262998627,274242192
288--Nonferrous Base Metal Waste & Scrap,21318592,33739442,38269129,27837271,57859701,37858087,29962657,18856092,32623099,24870554,17809060,15051034,31776652,18341786,20969143
287--Ores & Concentrates Of Base Metals,254464,55834,72039,161918,431888,383742,1425336,903585,1141898,630990,1470745,571417,268186,339212,459912
286--Ores & Concentrates Of Uranium Or Thorium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285--Aluminum Ores & Concentrates,30417086,33565344,32716496,27829591,30299635,37975209,42194025,34786307,39389781,44196641,41920565,47508233,53421692,51941358,39267280
284--Nickel Ores & Concentrates,0,31577,0,0,0,0,0,0,131669,0,6456,14787,9371,0,0
283--Copper Ores & Concentrates,0,0,0,0,7103,7988,0,0,0,0,32035,0,0,154684,0
282--Ferrous Waste & Scrap,70380,176178,561637,10395,696013,599973,4824796,14006565,28421882,9869123,20873815,7522044,272734,310879,5781997
281--Iron Ore And Concentrates,2333,0,0,0,0,0,0,0,3275,2116,11060,7516,2528,0,21637
278--Crude Minerals,7364019,7958480,14303524,12265052,10783928,7623872,9004362,5478941,12622509,10574264,17124346,13040761,21388929,27222580,18781843
277--Natural Abrasives (Inc Industrial Diamonds),341731,293044,524067,409068,456338,685363,557904,207691,274006,225045,207796,457950,511670,155877,195284
274--Sulfur And Unroasted Iron Pyrites,29609,14037,43915,546588,43084,4891,30501,0,36784,0,73331,0,3131,0,2808
273--Stone; Sand And Gravel,1197936,1624622,1773448,1529357,3663559,1357123,1210673,1327829,2326511,2236310,1846327,2257963,2860132,1954808,2079768
272--Fertilizer; Crude,352233,279935,255841,360657,1152419,1125676,2087059,1230793,2413469,1683189,3022938,11881890,2294323,2713874,1715340
269--Worn Clothing & Other Worn Textile Articles,482308,570942,849976,657533,539724,679277,474920,400448,834676,655405,825156,384046,289844,238764,977654
268--Wool & Other Animal Hair,3424019,1674026,679534,1044057,1631620,1264021,1853957,1431925,1024887,1645502,2046133,2246587,2757918,1984722,411274
267--Manmade Fibers For Spinning,23806342,24890772,30594661,32420259,33691093,32401074,36462882,34003005,34225897,45373902,35611313,33068062,41528248,41541002,38582957
266--Synthetic Fibers Suitable For Spinning,30500231,29342945,40324513,58339684,62281093,43742883,42695066,29674514,56445974,66658509,53909288,86062583,102322879,98987873,53947952
265--Vegetable Textile Fibers,26073,21419,7227,55251,84336,29045,33565,7779,55987,10616,8174,66577,20190,103936,46885
264--Jute Textile Fibers,66617,211630,252196,398775,37595,78131,17213,3866,0,27595,0,0,0,29233,722
263--Cotton Textile Fibers,619,354990,6444,39908,56754,4900,76833,69661,52280,205539,4020,46945,41925,21296,41033
261--Silk Textile Fibers,777,0,0,280,3961,185105,183560,6006,208520,10202,19015,4630,19772,12613,21135
251--Pulp And Waste Paper,2117047,4289860,11681696,7260565,4328391,5043332,5535113,3124800,4914016,5354397,5393689,3806115,5156002,3815301,3873071
248--Wood; Simply Worked,158650488,160937357,279657251,422601740,412681452,273103723,151575552,45640107,41636383,48069591,42019746,50358492,63917411,63600762,82589394
247--Wood In The Rough,639044,484676,241779,1269899,8052310,1906835,1324868,324663,107177,65833,17657,104081,178243,725212,58127
246--Wood In Chips Or Particles And Wood Waste,13656,11581,28509,9713,101341,143172,44567,59600,84467,307955,154674,227564,1003982,759886,1501220
245--Fuel Wood & Wood Charcoal,185490,36357,36984,0,0,110504,608871,31738,0,0,107683,38018,154049,189947,146430
244--Cork; Natural; Raw & Waste,0,7480,23582,0,2180,15258,10726,12858,0,114713,0,34844,0,0,0
232--Synthetic Rubber and Reclaim Rubber,71886604,84103062,73256728,101308091,109007830,134899284,165834664,113739720,150827322,201047832,215129282,172908503,199293882,178428978,156716835
231--Natural Rubber In Primary Form,892,1687068,474955,333320,173995,498660,471535,318883,262999,386875,280209,713029,397824,298582,426891
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,0,26256,20940,54606,62671,90698,20438,30797,3236,5172,43009,250968,72185,148465,157491
222--Oil Seeds and Oleaginous Fruit,16408,206557,5906,129064,63252,215700,257291,227368,252568,286975,279118,499211,544787,1720648,1627141
212--Furskins; Raw,172000,12027,349277,439576,1052339,2572131,389962,1305059,1650051,2064641,26257,3493170,13447,76780,9038
211--Hides & Skins; Raw,131715,6409,17519,4336,0,17163,10673,1237,4589,14852,3110,181385,209030,216667,325926
122--Tobacco; Manufacturing,7085407,5938839,6946548,5177445,6706480,6619819,6368688,8036255,11635120,15439069,20480101,16074691,19184392,20927735,23872930
121--Tobacco; Tobacco Refuse,2001463,2000010,1556176,1677325,1742446,1825083,2320078,2261265,1475112,598487,57448,1232346,142431,11034489,4913281
112--Alcoholic Beverages,263246584,322720636,367142900,415270045,446865123,490767014,509844690,461919399,481314516,494260356,434550594,421239689,360281756,321271772,364072634
111--Nonalcoholic Beverages,16335861,17353547,17314389,17023103,17890245,19124431,18046835,16768225,17479524,19056076,19757198,18607045,24325959,24930664,25009904
098--Edible Products And Preparations,24803021,29671158,32266831,36761164,45259273,57403984,67020871,77388879,83468591,87961332,108034427,118349399,133785402,120804529,128069890
091--Margarine And Shortening,127165,111775,117865,65961,25585,88311,178760,116468,17622,571932,100592,24881,107682,1838371,182731
081--Feeding Stuff For Animals,29556757,35743644,33342300,32772764,34448011,34423697,35720752,33570054,39403936,43834826,47730598,54780349,61528043,67419951,65981788
075--Spices,5074117,8329629,8885788,5861155,7733522,11014952,5212268,6164755,10030175,14578877,15591035,16246954,13453447,8158946,8997269
074--Tea And Mate,15360497,23770616,24364700,30454621,35426956,37529762,43108802,37091099,45059409,45280863,41357399,41512031,40231618,43977848,35265334
073--Chocolate & Other Food Preparations Containing Co,50839129,50958978,43904891,49793608,59427208,76066660,69452753,65891135,89412284,111754553,132238947,150967651,156089734,125394992,116763430
072--Cocoa,977788,6758122,9385633,8101074,4276700,5912984,8723415,12814002,60280202,54321420,49591792,23189393,21934898,19650779,30885478
071--Coffee And Coffee Substitutes,49429209,58935038,92085121,140884829,152382174,139280830,153286156,133403724,134795928,213994458,161348863,160715072,148518229,133823941,141878275
062--Sugar Confectionery,24913490,22288513,26322282,29847257,31911831,35357958,36238801,38247913,44555020,54673956,60794196,68704329,85110677,89806340,104981003
061--Sugars; Molasses And Honey,1648159,2478542,2617500,2784547,3591020,6478909,7414166,9019732,10017010,10114266,10948642,9209682,9566162,9563887,12909343
059--Fruit/Vegetable Juices; Unfermented,32091689,22342089,23389196,7780300,4662354,4549651,5981830,3669981,4245263,6047484,7927206,8932748,9519182,13094883,4443517
058--Fruit Preserved and Fruit Preparations,2498138,4269089,2778631,2493541,3032494,4221374,4735757,4408978,3783701,11688083,4298359,8196393,7996413,6730555,6686876
057--Fruit and Nuts; Fresh Or Dried,889138,899103,13663439,6145007,7543644,9189730,7122661,5839739,3462032,4792038,10741225,10114013,2349481,4382966,3982944
056--Vegetables; Roots And Tubers; Prepared Or Preserv,7948247,7745631,8026828,9447396,10868069,12823529,12682360,21148000,23584819,20020507,40787481,38908507,32769323,35718104,34452365
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,12831675,16755768,17160183,26801209,31007142,27875789,40489700,32575722,17937941,19316749,16448824,24566603,20542536,25575375,33012878
048--Cereal Preparations,52217239,69052002,76200760,79973755,86990653,97354149,110831615,99237603,107087682,132216487,148042224,162004228,169189081,164715941,168165810
047--Cereal Meals And Flours,0,16494,0,2022,5115,31017,257839,195282,201773,125882,89618,218917,360426,401111,261577
046--Meal And Flour Of Wheat And Meslin,91223,41478,67459,40743,68542,120149,206066,116072,149039,183781,138224,132042,139716,83702,119107
045--Cereals; Except Wheat; Rice; Barley; Maize,0,2863416,4050160,2473020,0,0,24270500,10439852,0,2474564,7029773,18672779,18673574,62393,5306504
044--Maize (Not Including Sweet Corn) Unmilled,0,0,2550,0,0,0,9241,0,0,0,0,842581,0,0,45645
043--Barley; Unmilled,0,4220995,10100,0,10284,0,0,0,3212,0,5773,4720,2886,10944,80297
042--Rice,0,0,0,0,0,0,4796,0,0,46485,210083,658100,48307,330238,248981
041--Wheat And Meslin; Unmilled,156726,175805,158599,85668,68166,108543,38008,151883,41001,142742,120033,124803,97816,0,0
037--Fish; Crustaceans and Molluscs,2472606,3227433,3522329,3782909,5038004,5166992,7495794,6466620,8687666,9231154,12566926,11826454,13617033,12007850,11270817
036--Crustacean,332999,0,0,71988,0,31280,107769,32040,302460,63920,24735,8011,0,0,0
035--Fish; Dried; Smoked Fish,155531,12560,27037,35836,59744,92704,699287,206553,81404,175207,13275,501916,1445769,1771873,3064966
034--Fish; Fresh,334871,357831,350125,180141,265091,410720,234955,342336,353630,665736,185849,1320312,21300232,41044304,63505583
025--Birds' Eggs & Yolks; Fresh; Dried or Preserved,11247,8373,755705,614988,648936,428328,447318,431917,103945,217458,109164,1383223,2233607,11407808,1301575
024--Cheese And Curd,33233666,25957360,30704319,24215999,21537168,22000685,17175973,15417643,16524962,17419492,16518164,23573547,36257852,44338768,41004463
023--Butter And Other Fats And Oils,198154,209380,242861,1082531,1078227,1010307,1480418,1034688,1156816,1053292,944718,1806601,1451216,6581458,9274926
022--Milk; Cream; Milk Products Except Butter Or Chees,8456353,4759205,637204,85359,358259,836621,1858746,279816,997050,5841181,20618073,47398753,14911370,10602157,14700750
017--Meat & Edible Offal; Prepared Or Preserved,689886,439303,439938,515265,558152,405199,201595,429582,1241197,1620002,1573945,2149223,3285822,4185332,4491345
016--Meat & Edible Offal; Salted; Dried; or Smoked,2957137,3549258,4539806,4721282,4993483,2982181,3207110,3242948,3416566,4259452,3636123,3746299,4094369,2782049,2578826
012--Other Meat & Edible Offal,437392,355660,0,318823,380744,0,139806,250036,0,0,0,0,66730,0,123864
001--Live Animals,34026339,39130184,34366334,49983375,65312938,84265286,54044969,31338919,22791801,34751672,89328590,119964742,142607409,200686629,215766052
