Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
786--Trailers & Semi-Trailers,25811857,15223565,19646688,24455681,26171235,63720031,63287411,84116743,38022549,96266206,79150098,80204812,75773230,72886078,55920988
785--Motorcycles And Cycles; Motorized & Not Motorized,132709586,191343022,177443123,167849565,185718924,191354812,195233698,126893740,122483760,168265551,189659242,212852220,180553496,259753691,208791727
784--Parts And Accessories Of Motor Vehicles,1735114616,2288127861,2755329395,3171211050,3186669512,3661445521,3258577122,2255451032,3121983202,4100721511,4781657328,5126233953,5622874477,5849171776,5270140334
783--Road Motor Vehicles,1002021,30668922,88426955,64021381,92897838,86514494,69362990,43153891,22902779,41246555,21490004,42369124,26527024,13715158,23872009
782--Special Purpose Motor Vehicles,147138085,86840880,115425028,231991634,219181948,400374974,531854721,418644412,247553784,389214215,480446873,641684036,746634274,603454614,521191811
781--All Motor Vehicles,17808198558,19710498642,20356095462,20364998180,19417837496,17524185789,18376925576,11420231855,17189144892,19646261771,23619291294,25763424887,25994086997,26648777535,22008398079
778--Electrical Machinery And Apparatus,662919447,802075900,972735000,1094291948,1141054549,1233490046,1412385676,1048630366,1312721734,1491564445,1504051584,1586190644,1703807080,1743388938,1594838562
776--Thermionic; Cold Cathode and Photocathode Valves,970426615,852020708,666458533,667803081,749614461,806843947,856453458,495800704,653190376,950483580,795195620,662972114,785268067,996892682,699595138
775--Household Type Electric & Nonelectric Equipment,323571393,329743766,373791868,352379167,795620071,830165249,404741466,236482565,287654364,303259553,295250802,337514729,370592451,396945116,376443318
774--Electro-Diagnostic Apparatus,1161049556,1356045941,1591100205,1834334441,2002897322,2165622476,2084516057,1819719666,1874577954,2207257687,2116511312,2036042363,2025802842,2104101350,2239934080
773--Equipment For Distributing Electricity,116749492,157695856,170395388,194131555,207053605,233872060,266108401,213131388,266701039,339924386,323407628,330902999,393155832,364975985,329117382
772--Electrical Apparatus For Switching Or Protecting,973196388,1175550289,1305834813,1263441166,1323875585,1412238465,1429445217,1012750560,1349029936,1700403344,1783843066,1762289085,1851801857,1738680915,1760050104
771--Electric Power Machinery; And Parts,236028914,236991742,251721196,256160078,324170487,345191856,386452855,426774836,473852943,528876595,496219233,544077955,523601214,529970770,664324036
764--Telecommunications Equipment,612683294,742899225,660139424,672428845,848065069,979730966,1053185534,770468189,877265604,1056548305,1312107285,1314992876,1550803739,1327924494,1247900399
763--Sound Recorders and TV Recorders,34825698,42436124,38543960,36297277,51951382,32320911,33098751,21151006,16359574,23297460,22817938,21119217,14739175,17327053,14541581
762--Radiobroadcast Receivers,54156810,53799767,37622321,36964437,27048742,50308393,12763282,6257845,6883172,20789635,11969813,22374743,52376944,34158537,56829358
761--Television Receivers,9105273,10784821,14934148,12333563,24747750,77635777,57452546,43755569,57176632,61472470,40966954,32440430,31432721,37406572,36931435
759--Parts For Office Machines & ADP Machines,258288248,261813679,269906061,273949858,328561495,254119574,210063981,145386338,142613721,169725008,130448627,126704210,153548133,118610916,129672853
752--Automatic Data Process Machines,360283457,393183929,380012874,380146279,405318305,362142197,406454554,304557789,321917818,361738001,347712444,346988244,394992974,378154818,391033232
751--Office Machines,95963774,121962410,177452837,134421163,137569130,202700095,240658162,248286850,238724795,176888492,174455477,204904713,233319463,197038515,205188639
749--Nonelectric Parts & Accessories Of Machinery,114023772,138006602,162274339,211740033,250598358,247262297,235885667,173851804,203315226,280018702,282304893,331563210,394270399,335123596,334588337
748--Trasmission Shafts And Cranks,436811459,531607362,647264375,868495016,918231812,1108164006,1248866316,848715394,972636854,1329668639,1342698171,1171431373,1276005518,1288327358,1128201488
747--Taps; Cocks; Valves & Similar Appliances,540271737,615547820,825925965,947752658,1014237568,1007691015,957417104,729806338,854962513,1117198330,1127661884,1139492337,1368753033,1389484209,1311125630
746--Ball Or Roller Bearings,117088692,135168152,167307825,199536396,223506324,254667142,307224904,213716253,265211936,312887322,341020929,317302884,326523886,298815081,272475164
745--Nonelectrical Machinery and Tools,720162099,846816975,995941198,1045868190,1175940476,1218834257,1285250275,848203521,911081498,1125270125,1056083593,1270451042,1334488182,1135933590,1305309466
744--Mechanical Handling Equipment,592631851,582705440,774086495,1051033585,1019677011,1058718468,1192907483,852590421,824798005,965193547,1115892465,1198152382,1220457585,1409677869,1320553678
743--Pumps; Air Or Other Gas Compressors And Fans,614285354,732613150,888076796,1053624547,1245883678,1318295445,1475038146,1050559399,1284019281,1634572116,1602479076,1591516111,1891551721,1911394523,1761127902
742--Pumps For Liquids and Liquid Elevators,497007208,548287032,714134984,840959499,931974736,1067012015,1034565316,725738890,981545493,1278523275,1302513441,1224584917,1410050443,1289517784,1066694329
741--Heating & Cooling Equipment,279140094,339927584,422967020,481778723,605552833,609914206,771928280,519309582,454295919,613998682,731453552,703107987,820882370,860381376,806320466
737--Metalworking Machinery,107905241,163333645,176158454,225869100,323375501,317262355,337807787,368009133,241337326,291948716,272560557,428658886,402091523,445431975,409951297
735--Parts & Access For Metal Work Machine Tools,202898387,241476381,292699567,309953622,299187235,304359888,330658538,231378002,253937997,359129917,391577697,403722566,408520775,399333205,391245214
733--Machine Tools For Working But Not Removing Metal,122036524,148666884,157590344,151929261,167564985,194638268,176326295,104205218,100315104,131770615,168828631,180130810,203311996,230956498,225229388
731--Machine Tools Working By Removing Metal Or Other,380560461,357640686,437074879,549542739,550341923,466746605,615777755,350511880,303524935,589260424,845651386,726458384,667007159,632354974,669727132
728--Machinery Specialized For Particular Industries,1135368452,1381194529,1568228440,1767990680,1820554088,1880467094,2003924201,1329394069,1675156679,2073221830,2274922391,2434709857,2488302992,2642527716,2744300254
727--Food-Processing Machines (Excluding Domestic),116153429,145973716,160375277,189230573,170347793,220607289,202341217,163632524,158065890,215666441,230692416,292235392,341869719,341945451,337194493
726--Printing & Bookbinding Machinery,613410812,645774238,826016701,876190135,973069387,822620543,697580212,351772599,281585384,343417942,347781781,352571679,367709175,351075791,408981022
725--Paper Mill And Pulp Mill Machines,164087535,223882005,211115349,200956435,240815834,268634922,249712478,129287922,137924433,188970167,160878333,144500952,200513745,213315895,217177629
724--Textile & Leather Machinery & Pts,430814368,599523923,711985144,882895100,290101446,329449639,709725454,513524616,543116142,487033579,334006390,337644986,378090010,354031085,309701907
723--Civil Engineering & Contractors' Plant & Equipmen,416576248,522165085,653415297,934437513,950775778,1055120149,990687094,611013619,778714691,946570536,1208473249,1030565659,1095057011,1065142147,1090203665
722--Tractors,221244496,234419445,328619213,346815043,353375711,332093138,423198087,255428020,314599190,423714531,440900277,567604150,723355563,650039765,563261839
721--Agricultural Machinery (Excl Tractors) & Parts,148778930,182207221,252289242,275821360,312665119,297997948,427701325,325789718,312277299,397856460,502815385,629022780,627857770,534945578,513228518
718--Power Generating Machinery & Parts,120359556,160297788,209118832,253497288,287020500,363678465,565755548,374427735,375730156,491677646,561655644,535771747,602253724,428472066,388395779
716--Rotating Electric Plant And Parts,641952850,456792348,401038443,527978186,566109649,972444301,1025356126,718376228,546810069,812464906,805865378,747064215,802499943,672920684,682775042
714--Nonelectric Engines And Motors,1025010946,807750876,984852285,1186258140,1268818611,1497215608,1732492134,1532513073,1397799783,1730522093,1986141182,1915550395,2157059095,2310831595,2088520173
713--Internal Combustion Piston Engines,1861054443,2242069747,2413851653,2529677782,2955463718,3569793646,3188899908,1697448534,2394049592,2600657868,3323968212,2997807080,3206755085,3625908999,3150930888
712--Steam Turbines & Other Vapor Turbines,169605346,93186982,109417336,49664107,86515819,101835025,105323255,91854351,131432128,172913795,110426290,61670471,103486333,45199970,80636901
711--Steam Or Other Vapor Generating Boilers,6737919,1966232,2544258,5534318,7721520,5345123,17868970,10447918,11079107,5236734,13964394,4290769,7491880,20927512,4414248
699--Manufactures Of Base Metal,394746787,473680381,558117952,595853302,614694099,693888403,718540245,516864981,636106618,784762177,869259873,898460297,990284808,909826578,833000131
697--Household Equipment Of Base Metal,72534702,79943256,81158051,79005589,75320231,61952708,53367045,29808553,33541761,31243737,31433673,33874991,33147715,43385540,38729200
696--Cutlery,91916135,109744225,109114025,112105300,125402980,116473296,107140253,86241213,108818958,94565346,100062267,98183257,127564209,132270085,132580226
695--Tools For Use In The Hand Or In Machines,280347961,316692533,380851607,422020090,519094403,539444193,502193927,314605683,460431509,538881555,622916386,702883588,765173320,715832884,688778015
694--Nails; Screws; Nuts; Etc;,102973939,132645194,159842570,175962633,194697289,223215107,215167402,143796157,184763626,268043277,296051818,301171932,376337530,375211693,319944659
693--Wire Products & Fencng Grills,30668435,32500860,45545323,45792248,61861082,66886135,74311633,56008967,43049712,56541024,61429616,56644401,58003224,60119448,59046496
692--Metal Containers For Storage Or Transport,27399142,25481702,30516057,60632106,55389016,97629298,74420710,60776227,83804814,115626789,201879634,218314630,216320032,205685986,224945541
691--Metal Structures & Parts; Iron; Steel; Aluminum,67399762,89407229,87959689,124334250,145897461,183539189,146183924,147666221,176853060,117073668,167433624,179887798,219300610,293503651,197055858
689--Miscellaneous Nonferrous Base Metals,35290452,39846200,75354335,105481561,160563720,163013260,174971593,66477664,108866537,133451393,151804541,114358860,160973896,141086384,142902182
687--Tin,544445,1372642,1309413,3364567,2297317,40356,1102294,1121405,292222,894791,1405072,763168,592478,662406,866930
686--Zinc,4967589,5919458,6113424,7088516,6929380,8039483,9608619,4091628,14510799,22537471,22332756,19710006,33867273,24945623,26786715
685--Lead,2808502,2566062,4537929,3891074,5528140,6212085,8521161,3771653,4257647,4275553,4260962,3176114,3557635,21020915,4003167
684--Aluminum,340836853,369480738,432649594,588918020,719455988,654719363,670522345,402978717,461819528,527075002,503887980,478155619,395007324,417573742,376402509
683--Nickel,95634467,88884679,137862892,202192884,250737551,343104293,274519874,123197189,185469405,278626966,255036143,193831472,210957740,215426102,134512410
682--Copper,189709832,187933289,328252391,358102738,568144720,506128177,450430097,312639459,492301813,624441753,597594310,573545154,641314465,550347030,519588471
681--Silver; Platinum & Other Platinum Group Metals,204436624,200338628,183890228,265309886,446961760,592788178,563969703,185252356,409031428,858282283,386171193,663242867,372597905,204908549,369162863
679--Iron & Steel Tubes; Pipes & Fittings,253763137,184423117,240623953,439335950,539507255,710492226,1091275525,620797112,512145753,682792635,984321308,699409829,827711520,747755515,364554615
678--Iron And Steel Wire,19540413,17597936,26098658,29546979,30646266,26161582,25899818,14292991,25038636,26838217,34208905,35106717,40422646,41067268,35633227
677--Iron & Steel Rails & Railway Track Const Material,5577461,941828,1330172,2126764,1432159,3129178,3480877,4402011,6188321,6309565,4740749,5784430,6210301,2719446,1319579
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,119447379,104607195,296958747,326392830,282370693,232481674,320413609,167256704,266683150,378133404,341838917,335696934,412995581,421621886,270708268
675--Alloy Steel Flat-Rolled Products,190887476,186737693,290252865,344022877,337612804,434520932,320392133,158135050,303427592,479444236,324268440,279275646,341079840,277084468,286888831
674--Iron & Natural Steel Flat-Rolled Products,62820060,85015904,94960637,118189440,135116175,179413974,128511927,71400299,113141550,100066244,129086928,120049485,150293673,225116350,214487032
673--Iron & Nonalloy Steel Flat-Roll Products,52612027,56520997,69655964,61147146,104726582,50700616,78217683,37690432,160589023,114994251,217800059,196699108,135065289,214356385,177296180
672--Iron Or Steel & Semifinish Products,87522968,74928480,86933502,108881757,61128450,66124270,71235206,3274385,178577219,84101265,86967979,17110628,32130855,26599543,10146126
