Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
813--Lighting Fixtures And Fittings,-33286049,-39715841,-48925528,-66489414,-64787077,-82021607,-88514604,-67223505,-78346096,-98007044,-90720355,-107126714,-125558147,-131824139,-142094558
812--Sanitary; Plumbing & Heating Fixtures,-16686746,-23546195,-34317621,-45056096,-49936338,-54087535,-66279577,-53840279,-55656316,-71951647,-64328438,-67201742,-78228689,-87174571,-57458605
811--Prefabricated Buildings,2830676,2512826,3689132,2744303,55936,2094375,4205551,11713865,10313414,8144407,7553618,1424196,4386765,-1251553,4575952
793--Ships; Boats And Floatng Structures,70694216,18854639,39354950,67848481,56753665,55963694,102147516,42201062,46929061,37461312,44148144,30806050,36510363,-142745943,11471383
792--Aircraft & Associated Equipment,-102201326,296615749,1566874311,1802534588,2897351125,4212027457,4368882112,3640797854,4475781921,4066487796,4131506854,2906389442,2558590077,2234336315,3046340468
791--Railway Vehicles & Associated Equipment,-114637418,-59497947,-23027122,-10945014,-71314143,-14275694,-29700946,-43853958,-232427751,-230573620,-371077823,-9266771,-53037254,-13408899,-43703107
786--Trailers & Semi-Trailers,-20744704,-6739390,-4899669,1671232,3575898,-39840018,-34926082,-72832624,-26990035,-84496488,-54844347,-59447166,-41832395,-40103056,-17280789
785--Motorcycles And Cycles; Motorized & Not Motorized,-15003277,-66757491,-101560803,-99230102,-114273922,-87366474,-75115597,-47364076,-30274188,-74774470,-93219751,-115452701,-67333506,-164658198,-124325629
784--Parts And Accessories Of Motor Vehicles,-1097624032,-1670408471,-1961992938,-2324163120,-2214739411,-2771796506,-2352024606,-1556908474,-2347754975,-3344573541,-4042045592,-4413108221,-4939734465,-5160695290,-4560952199
783--Road Motor Vehicles,1144933,-28559238,-81717788,-63091598,-88962907,-81298796,-38135361,-41985981,-21905875,-40235300,-20696567,-41738121,-23914343,-12258929,-22855265
782--Special Purpose Motor Vehicles,-125294397,-44618582,-79883143,-163843480,-168122655,-289733988,-424695249,-376253927,-157252599,-340423953,-441928431,-590894185,-689526780,-534346681,-483951878
781--All Motor Vehicles,-15018375188,-15769980425,-16328180347,-16652131552,-14210983422,-10334186077,-9853149786,-6695224854,-13106508456,-13981246573,-17413810334,-20751815924,-20360396070,-20498594692,-15352846046
778--Electrical Machinery And Apparatus,-315696992,-425457647,-557644743,-587343744,-559135967,-747025025,-905376785,-671484270,-788142634,-962352246,-1011646207,-1012533667,-1100540291,-1176155022,-1018245137
776--Thermionic; Cold Cathode and Photocathode Valves,618674483,694747520,714565855,857490968,1398255253,1272923799,1039575038,794175822,877527092,178284425,22020061,108040364,55493733,-273950543,120972778
775--Household Type Electric & Nonelectric Equipment,-268033763,-259038839,-287863043,-261331327,-705526534,-724222249,-264379073,-130397072,-182255583,-207998834,-192815056,-230299580,-269092974,-300265378,-290671398
774--Electro-Diagnostic Apparatus,-293228189,-355781233,-764232075,-1007212110,-967861015,-1016619511,-922525916,-699104617,-750632721,-1093927380,-1017055989,-1085556578,-1038097337,-1149170233,-1317692107
773--Equipment For Distributing Electricity,-48415656,-82692524,-81960954,-72401193,-73356104,-100196023,-123986647,-91093645,-126296024,-159904274,-143416300,-111126350,-184636988,-140561981,-122161148
772--Electrical Apparatus For Switching Or Protecting,-556344778,-721567326,-805944425,-824201482,-839811420,-870542598,-850866102,-609262102,-778686576,-1013453271,-1093122677,-1000997737,-1001183899,-877817190,-833889564
771--Electric Power Machinery; And Parts,-110799534,-109130174,-117679682,-104340571,-138082530,-153947197,-162478978,-254648375,-282792579,-318308162,-291759471,-339400053,-321498236,-319774085,-437906375
764--Telecommunications Equipment,194698024,24844662,102793168,162493436,126008943,189943340,166447640,215504349,104855197,17352562,-212252218,-271219471,-392349182,14494569,45232924
763--Sound Recorders and TV Recorders,-2882203,-7078817,-4888448,1143527,-14543889,-9008029,-14069893,-1594201,1632748,-7859112,-6049626,-5834382,-401499,-2461979,-2986427
762--Radiobroadcast Receivers,-51260624,-51228597,-29815631,-21223213,-16355566,-39259833,-2679218,1744725,12592724,24333485,64313548,113820244,97214344,97952122,25109198
761--Television Receivers,21805229,34549631,22403302,30599281,5738505,1894052,14811748,1433736,-1847779,23558694,14607339,26987926,54437753,27384654,49918666
759--Parts For Office Machines & ADP Machines,813577924,827258073,627102725,639129164,601878820,617871884,283843433,136799010,97048735,-32523860,-15218609,3752880,-34155279,-12084157,-33591251
752--Automatic Data Process Machines,605408934,623495183,711804483,709595738,751346713,702342204,465747125,453370983,369203614,378568597,438706376,364595632,414663072,380112110,435642577
751--Office Machines,-78383928,-108929561,-158480124,-101747893,-100486522,-2676285,-82638819,-132505755,-137184466,-29836076,35668840,27876700,-26399897,13673963,36326279
749--Nonelectric Parts & Accessories Of Machinery,-39642962,-61323631,-93659323,-151050896,-170812456,-132345852,-55510126,-50705729,-82210141,-116141777,-108345139,-157840634,-254352411,-195344224,-212653249
748--Trasmission Shafts And Cranks,-376898851,-479510860,-597078674,-813016425,-846846928,-1025310561,-1153831850,-746594744,-842606390,-1180066758,-1190569441,-1019101081,-1113693545,-1141814661,-968927513
747--Taps; Cocks; Valves & Similar Appliances,-425622087,-478195396,-672825092,-796322866,-826606326,-759124379,-676239448,-517372778,-559560606,-772923869,-782867369,-766212960,-948478170,-903801084,-776006472
746--Ball Or Roller Bearings,-66973028,-82041768,-105455628,-127675924,-147548434,-184488016,-225600864,-155079140,-191304364,-205227935,-253650343,-232708622,-235980391,-172965832,-158879719
745--Nonelectrical Machinery and Tools,-547968413,-656663422,-761071889,-805724935,-910679330,-959441806,-999839770,-633570345,-659557052,-872701255,-841949613,-1040386671,-1083381699,-913497480,-1080574715
744--Mechanical Handling Equipment,-511319627,-507112558,-656711660,-910746482,-837542838,-861521786,-1010462768,-743138260,-722064242,-842364236,-1004511679,-1067475974,-1101580630,-1271122275,-1199732940
743--Pumps; Air Or Other Gas Compressors And Fans,-410296747,-507863204,-637678943,-801479319,-950785964,-959804606,-1083387814,-761107804,-893255618,-1223824398,-1143856257,-1097908140,-1408821009,-1398342758,-1197241241
742--Pumps For Liquids and Liquid Elevators,-305535567,-376657608,-568804530,-687028908,-755248509,-787029085,-749588968,-517026977,-740784678,-979971704,-991339144,-936815950,-1109736267,-989578985,-762704024
741--Heating & Cooling Equipment,-129505021,-196913957,-275949153,-307200236,-372728744,-361460469,-517894547,-324851765,-234520003,-368240862,-497174876,-439110557,-546943426,-595648063,-506314533
737--Metalworking Machinery,-67719162,-113961016,-121486696,-162785794,-251541215,-249934296,-275507268,-318445990,-179507688,-225659557,-197941858,-368898917,-351488357,-392357698,-362210925
735--Parts & Access For Metal Work Machine Tools,-90919212,-124088146,-188501902,-193595015,-160473524,-179128971,-195121321,-149351871,-156845114,-262968806,-300571734,-305751562,-306533874,-296715792,-287991849
733--Machine Tools For Working But Not Removing Metal,-100156865,-125524508,-135704846,-117539889,-94313155,-164268660,-137058391,-84057210,-79672002,-102898299,-145245753,-160155968,-180933282,-199661648,-208939623
731--Machine Tools Working By Removing Metal Or Other,-254674484,-219036559,-312343107,-380950556,-324177076,-358386506,-476493236,-281908429,-228827490,-487672913,-739645142,-634732846,-570375222,-557337287,-588627306
728--Machinery Specialized For Particular Industries,-639178916,-979169551,-1029335070,-1079137463,-1131667693,-869929797,-1166572610,-808421391,-623688365,-977020831,-1422667385,-1638652113,-1714406625,-1824033219,-1961460933
727--Food-Processing Machines (Excluding Domestic),-92384957,-125470848,-136530652,-163912202,-148618974,-188762343,-163013453,-140618325,-135152625,-190443834,-210254107,-268185117,-309468269,-322063645,-313656089
726--Printing & Bookbinding Machinery,-495545070,-551845884,-736370289,-776616790,-877979968,-720466364,-595746355,-291003070,-225898391,-288111165,-284556458,-311958981,-318158249,-304999548,-372056353
725--Paper Mill And Pulp Mill Machines,-135025856,-194158993,-167983263,-155366895,-202232305,-234705560,-204874696,-95453239,-93233936,-140820694,-116972819,-95163071,-151186326,-148593125,-169643330
724--Textile & Leather Machinery & Pts,-399222954,-571258666,-674820786,-849526436,-254652916,-289595876,-675458736,-487131690,-519330888,-460900633,-296466241,-306200250,-346215686,-324991239,-285569241
723--Civil Engineering & Contractors' Plant & Equipmen,-273325408,-318572571,-428097552,-713349657,-704145899,-670513750,-608158966,-412227494,-576167796,-719784489,-965235909,-818926711,-915940322,-907493057,-949120998
722--Tractors,-141307000,-172094029,-269119898,-246381575,-229553419,-239650750,-272169809,-157501666,-233204304,-282341139,-274347547,-414849623,-569128627,-522757660,-452520556
721--Agricultural Machinery (Excl Tractors) & Parts,-60906521,-85890435,-153637359,-118419408,-145612389,-91307510,-169699677,-163506539,-151814484,-215392351,-282252094,-436069918,-457250833,-371804210,-333538726
718--Power Generating Machinery & Parts,-87632958,-123590216,-169031465,-215804115,-229078769,-279795509,-457850369,-284285619,-274490197,-302534028,-405478899,-337168771,-417982626,-233577255,-169548206
716--Rotating Electric Plant And Parts,-560490750,-371580167,-317473235,-407514425,-424344919,-801113974,-837889433,-573193250,-403542256,-599996126,-550328003,-544867176,-595187853,-405331005,-396195700
714--Nonelectric Engines And Motors,461276345,706362886,-777429090,-981785724,-1025403426,-1250368771,-1340358196,-1224721931,-1035207203,-1304549635,-1624050727,-1569607787,-1825706328,-1987974977,-1643408932
713--Internal Combustion Piston Engines,-1629411214,-2079193046,-2273509571,-2292861166,-2692851779,-3306043970,-2849331755,-1462717210,-1982114539,-2191425738,-2916372770,-2513103697,-2861632256,-3302306438,-2816939653
712--Steam Turbines & Other Vapor Turbines,-145411311,-83113819,-98717383,-34312992,-72450223,-92415327,-84145862,-67213402,-122190620,-161309289,-81862407,-56047186,-99869851,-36726112,-68587045
