Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
574--Polyacetals and Epoxide Resins,-29473471,-46218887,-45151107,-53552390,-59634741,-52254936,-71444656,-22887818,-27031630,-1403052,-72568111,-74433900,-90911576,-118121086,-101847358
573--Polymers Of Vinyl Chloride,-34398953,-54641368,-97273836,-129541146,-122998228,-97659801,-85975495,-50665505,-75432041,-88051255,-84529965,-97302911,-106144826,-98117476,-89149769
572--Polymers Of Styrene,-9942601,-9667188,-12200124,-25050671,-27338221,-12328116,-11339567,-271519,644044,1198712,-11299152,-16727577,-21013549,-26323038,-25452603
571--Polymers Of Ethylene,-1466041,-6336474,-16200413,26900473,52604106,948985,-6935696,-4427293,-19794301,-28041034,-40356742,-26727193,-54324014,-40947738,-39587798
562--Fertilizers (Except Crude),-31046414,-29426723,-40994411,-44612528,-60232157,-55073054,-80473649,-65533027,-45755278,-88883683,-87816923,-92746100,-68998372,-82024078,-72264618
554--Soap; Cleansing And Polishing Preparations,-49337761,-53832876,-54756341,-47404331,-50686202,-49097799,-44059053,-27874654,-50535375,-52498053,-58439813,-67330383,-76356778,-70768245,-47920838
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,-72078960,-72130933,-70004695,-28524267,-15107286,-8374438,27620438,14372384,-11598769,-76759502,-57329900,-95124897,-32716946,-54763295,-66323168
551--Essential Oils; Perfume And Flavor Materials,11077794,12293192,10500508,2877895,10940708,5348611,5684122,13874013,35175743,16520951,54748955,61333052,56943226,55061029,29805404
542--Medicaments (Including Veterinary Medicaments),-1916338747,-2358310881,-2948032269,-2980410438,-3788114494,-5429611946,-4412992538,-5180060620,-4962310839,-6353321954,-8271435291,-8636711540,-10654573150,-11119516460,-8989418394
541--Medicinal Products; Except Medicaments,-616458071,-608213252,-110685812,-495557952,-410808979,1415962444,1058097970,3405385952,3318734449,143343402,-97458102,-333108570,-1049631580,-1060557582,-1627950749
533--Pigments; Paints; Varnishes And Related Materials,-167060861,-194711633,-145741338,-164047902,-165552329,-122593407,-109282428,-83511026,-110097850,-206293037,-261313671,-300920585,-284552514,-220051892,-204631343
532--Dyeing & Tanning Extracts,-1443683,-1631885,-1109030,1744581,10017709,14876222,7534158,1483735,1355985,4382138,1206226,3355774,5656768,5742766,1803528
531--Synthetic Organic Coloring Matter,-137076077,-117980945,-87258243,-76905345,-70560272,-52121579,-67320761,-57521995,-43611113,-77251987,-115642324,-78451415,-90429214,-63577280,-87629673
525--Radioactive And Associated Materials,-85759628,-72068254,-186665943,-185329984,-229927684,-359678137,-464056229,-478591773,-368525996,-437388559,-433044624,-345497493,-93994229,42961838,-90191792
524--Inorganic Chemicals; Precious Metal Compounds,-6507827,-11918438,-33506765,-43945767,-54143506,-43872629,-26500422,-4569294,11868251,-13864142,-29133549,-9027952,-15827207,-26893335,-40878357
523--Metallic Salts And Peroxysalts Of Inorganic Acids,-108506141,-32691632,-81591613,-87582576,-83827673,-79512415,-107309662,-101297707,-94584581,-109970424,-147205075,-130517305,-116549913,-123287070,-101576856
522--Inorganic Chemical Elements,-138961421,-134004322,-143318975,-113477636,-106766018,-100385783,8804344,10065346,-88863139,-150657342,-199156739,-183940011,-61256896,-209862431,-168104515
516--Organic Chemicals,-104364704,-110681635,-131966234,-133817544,-88275568,-125042664,-167850242,-176840585,-231837639,-222958285,-231595567,-217217610,-221662991,-227123834,-183459164
515--Organo-Inorganic & Heterocyclic Compounds,-1230718388,-773382371,-1202015507,-1442941656,-1034865565,-1036254999,-1112146272,-822384806,-596694583,-402167546,-627344698,-889040474,-1049231448,-594508502,-690981348
514--Nitrogen-Function Compounds,-249348840,-209474862,-194475891,-183209490,-196204892,-202457377,-230512759,-154719117,-219190408,-268447939,-274254354,-289118361,-318703392,-264986336,-294426635
513--Carboxylic Acids; Halides; & Derivatives,-87144176,-86068627,-97027652,-95577118,-121146147,-73233202,-92766820,-145190744,-201768743,-194767156,-230287941,-242611064,-310374332,-232846456,-197404648
512--Alcohols; Phenols & Halogenated Derivatives,-104238403,-101947293,-163447385,-216184623,-127839801,-82864563,-171894910,-79061587,-132835665,-110159372,-128255124,-142397823,-201381225,-180823244,-134388642
511--Hydrocarbons & Specified Derivatives,-18879819,-68404501,-45081827,-95098155,107741278,83284903,44485919,-63715250,68689304,-65281139,-57663342,-205743923,-133958065,-54797567,-33789256
431--Animal/Vegetable Fats/Oils Preparations,-2006038,-3507873,-4832251,-6191023,-5700839,-5506739,1749455,-3219672,1476811,8198795,24058644,17618957,43062497,10680525,-1919721
422--Fixed Vegetable Fats & Oils; Crude,1828209,4173601,2271467,1098440,569754,960029,2335907,1991129,5961772,2360211,1800452,1740628,3984437,2884940,3428976
421--Fixed Vegetable Fats & Oils,1636431,781146,5770705,9385928,46636775,11009947,23561906,-1796596,-2721315,26230737,44532112,44470703,3711101,1113120,1197106
411--Animal Oils And Fats,-2385948,-1829045,-2380650,-2026282,-3102360,-1809697,-2049249,-2563683,-3042445,-8276261,-3075111,-23651,21641259,15271271,22917765
345--Coal Gas; Water Gas and Producer Gas,0,0,0,0,0,0,0,82375,0,0,0,10675,0,0,0
344--Petroleum Gases & Other Gaseous Hydrocarbons,-312904,370433,-775232,67777,1069176,974954,-3967667,-4967649,-37736198,-39994996,-27282501,-8656967,-17641956,-175001,-119550
343--Natural Gas; Whether Or Not Liquefied,9076,0,0,0,0,27573,0,0,0,0,0,0,0,0,0
342--Liquefied Propane And Butane,6814,-587910,39392,10728,175365,257830,249600,165220,221938,-7444,149827,6968599,-7888,-32077,-52274
335--Residual Petroleum Products,-14374971,-56957704,-151775938,-101006801,-106129279,-48008443,-99537467,-53777269,936620,29121805,12100906,-673289,-13147250,-17028377,-20752651
334--Oil (Not Crude),-472287449,-516559051,-875800129,-1726656987,-1515461025,-2034842423,-1517095353,-576168603,341661972,477900444,168076735,-137137839,-183861897,-80747914,7627275
333--Crude Oil,41965,0,0,-27239919,0,0,0,0,0,0,0,0,10060580,0,0
325--Coke and Semicoke Of Coal,-42123,-107002,-23419,0,-6951,0,6713308,-7848376,-2091,8723710,0,534786,316272,-2269,-18057
322--Briquettes; Lignite And Peat,28723,-37494,-44202,-80488,-56025,1505395,353508,-38224,344509,-198334,78125,-119532,57320,-417629,-407746
321--Coal; Pulverized Or Not,30038688,15362217,24453136,58939897,144848530,157716803,229862417,238924757,315176366,602329242,598543570,504801955,442062016,275831900,249937124
292--Crude Vegetable Materials,7738159,2713855,5281462,723785,2165550,860369,18991991,31219094,15145377,18618902,-143219,-22471937,-21166671,-31007546,-37723807
291--Crude Animal Materials,2086910,5426668,5460678,646917,665480,5966760,8579781,8916104,4163376,4692687,7234238,2310703,4974447,2546920,-819839
289--Ores & Concencentrate Of Precious Metal,39069356,35220309,70476968,120539994,244501401,365044975,193955712,73383621,54493906,307309075,235246760,160176069,-16464399,27875309,2319396
288--Nonferrous Base Metal Waste & Scrap,19143415,-15865682,551441,9011120,61043855,40453897,45038148,30351242,55480351,135405993,192362570,192247990,239340152,174251196,122830729
287--Ores & Concentrates Of Base Metals,16943968,37733391,18963889,17715771,40281442,27749225,49935400,6807149,55220098,6711125,40374585,43758126,87464743,66295671,91281993
286--Ores & Concentrates Of Uranium Or Thorium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285--Aluminum Ores & Concentrates,-16427688,-20770940,-19324198,-9437546,-12863384,-17130888,-15953010,-17558507,-21955280,-20028538,-29349424,-34764678,-37233592,-39375068,-25169347
284--Nickel Ores & Concentrates,163858,134158,304647,436999,538252,893516,3083334,589205,525408,1732777,881885,265504,421194,536177,325212
283--Copper Ores & Concentrates,380210,15746,186382,86418,-4082,9366691,744029,604860,562951,4303920,2556336,91165,132235,-132280,15305
282--Ferrous Waste & Scrap,4305570,2923764,7059430,3356238,3214772,1333327,257912,-11360240,-24672604,-6311241,-16293248,-2623940,3797760,2293431,-2036928
281--Iron Ore And Concentrates,5921,0,3650,97038,29478,0,14949283,27459083,33416658,15050009,818992,4501335,6931,21750,-21637
278--Crude Minerals,22271309,19446566,22015335,23278432,68240201,41055200,50965453,42536324,46202799,48064509,34261417,40676883,34735467,21330499,31122008
277--Natural Abrasives (Inc Industrial Diamonds),4983014,5928052,13442290,2492925,2307562,1377955,1437441,1037618,2175463,2920062,1855759,1139557,1567257,2118659,2907358
274--Sulfur And Unroasted Iron Pyrites,-15045,6123,-43915,-546588,-26604,-4891,-27026,2962,12951,22023,-44463,0,11571,0,17785
273--Stone; Sand And Gravel,12761484,14717220,15150654,21238685,18656029,22415012,21121021,19947991,39485908,43731186,33410312,26962200,26681787,24550830,20228269
272--Fertilizer; Crude,-352233,-279935,-255841,-360657,-1152419,-1125676,-1838951,-874859,-1586365,-1427685,-2789308,-10757644,-1879777,-2572419,-1578690
269--Worn Clothing & Other Worn Textile Articles,580175,947176,271841,527167,374339,1542537,2674593,2042110,2533009,2468446,4324193,4025534,5793790,6528740,4392809
268--Wool & Other Animal Hair,-1267119,3046786,2105974,2939179,1463752,2604269,1547017,-1356187,-951321,-1552344,-2040253,-1615456,-2742147,-1952943,-280023
267--Manmade Fibers For Spinning,-2925597,-7862009,-13803768,-9286268,-2943201,-8905501,-32769863,-32907312,-27665555,-37871483,-27338115,-24457174,-34655221,-33720611,-31790693
266--Synthetic Fibers Suitable For Spinning,-9757460,-11350679,-28352136,-52375548,-54826687,-35954428,-38637557,-26485572,-49547188,-50084101,-51174290,-82392828,-97460320,-94867834,-49600224
265--Vegetable Textile Fibers,109789,422421,13197,-45146,-84336,-25920,-33565,45821,-43868,-5216,-2729,-66577,-20190,-94408,-22774
264--Jute Textile Fibers,-66617,-211630,-252196,-398775,-37595,-78131,-5789,-3866,0,83757,0,0,0,-29233,-722
263--Cotton Textile Fibers,17097730,21292079,10153745,14784599,16134776,15691923,14066438,10436361,12942043,42084793,23036830,19342735,14708223,16647544,13308083
261--Silk Textile Fibers,28595,0,2681,4720,11039,-166021,-179306,13374,-208520,-10202,-3599,11652,2604,-8796,-188
251--Pulp And Waste Paper,220015206,201031092,195901508,241702233,241359328,286318665,371259751,275623316,315727311,287242635,304066007,266603823,254436200,224918865,226419249
248--Wood; Simply Worked,-131887295,-132489923,-239960475,-378396569,-365769550,-236249591,-120963215,-13737745,1794126,3586971,3179591,-11649957,-16214161,-24204165,-39343329
247--Wood In The Rough,39119592,42117865,40193117,41698311,35072031,54833474,56558945,34068688,40271144,34969858,29666972,24237996,18077433,17907322,15541419
246--Wood In Chips Or Particles And Wood Waste,201016,470054,186363,116978,129694,672245,301180,143127,497381,352559,876633,8520033,3661859,-284864,-1248111
245--Fuel Wood & Wood Charcoal,-174692,-33060,-17815,0,0,-110504,-606021,1028274,43744,42563,12589,48333,175117,-16335,-124222
244--Cork; Natural; Raw & Waste,0,-7480,1318,23204,42456,844628,116344,73484,52365,-50141,135308,77668,105049,132013,67457
232--Synthetic Rubber and Reclaim Rubber,-15549895,-6838841,9094480,23054528,28541458,29206662,23539010,-17511896,-30899316,-61405732,-99848395,-56731957,-95773422,-94482840,-82566979
231--Natural Rubber In Primary Form,500597,-384052,224831,312791,674958,-227519,-146549,1584247,3472606,760465,539254,-283041,914105,608076,635812
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,515160,2436640,156749,80406,156116,546963,200578,384205,968994,521464,729999,442106,737683,88600,71965
222--Oil Seeds and Oleaginous Fruit,272138988,296860941,400919530,214426735,40037173,344546355,779753440,462910751,536440188,314203993,905246417,779142381,621608156,837172490,458676117
212--Furskins; Raw,6221693,7298622,9481934,4466793,3689913,3483247,12095152,1634518,3131030,6175983,5040451,8685271,12591219,1609175,1917657
211--Hides & Skins; Raw,12650556,13981223,5247299,4337691,10932337,12940298,13980121,6286478,10561779,17128612,10807228,18676827,16298811,11004134,16730431
122--Tobacco; Manufacturing,14840089,15608560,12717232,6248115,7112204,1989970,5595681,-5631887,-8865760,-12023086,-18194063,-5217487,-14144062,-17285576,-19652680
121--Tobacco; Tobacco Refuse,186249286,157919659,173512035,166269170,220478031,182732031,127293500,79614612,66040122,82662769,71098447,71427661,52038354,47924824,40249631
112--Alcoholic Beverages,-186295448,-230345227,-259109498,-311756275,-321380344,-349864294,-360023165,-326104327,-305798975,-319401889,-256239705,-167497653,-157299835,-97746638,-169967395
111--Nonalcoholic Beverages,-15963042,-17013221,-16777565,-15128941,-16982966,-15420757,-15358538,-14054513,-13360859,-13890994,-14292827,-13302791,-20479076,-20321114,-21088713
098--Edible Products And Preparations,-7444853,-3437065,-8148486,-6616955,-8771341,-14473343,-15177259,-36785140,-41380267,-45291992,-50755913,-55321311,-69610067,-74458449,-74080791
091--Margarine And Shortening,-67541,57522,42874,27348,414398,562839,806438,862350,1628209,1682370,2824574,2550180,3131606,1190183,2675250
081--Feeding Stuff For Animals,22712931,2504251,9114133,-10765421,-12989315,-4823762,-4347686,-1657471,9648247,-9445933,-17166517,-1001397,32931912,-23022565,-15490369
075--Spices,-1040466,-7026712,-6938557,-4571263,-6405372,-10113909,-3881346,-5273733,-9290452,-13494521,-14069640,-15016069,-10816243,-7013091,-7549553
074--Tea And Mate,-15180173,-22931408,-24048117,-30137395,-34956773,-36339373,-41507215,-35478129,-42995316,-41586592,-37834846,-37936511,-37303700,-40815173,-29686900
073--Chocolate & Other Food Preparations Containing Co,-49206134,-50060381,-43529002,-49283803,-58147639,-73895343,-68516828,-65032408,-87433654,-110485586,-131272718,-149200554,-154176388,-122278938,-107240748
072--Cocoa,277399,-6064027,-7380624,-7173820,-1770046,-3739912,-7211817,-10935233,-48527263,-52828447,-47817028,-21941785,-19375809,-18670405,-29989886
071--Coffee And Coffee Substitutes,-34041325,-38210985,-49909601,-117991122,-97106817,-103107604,-139591371,-127574327,-120418742,-156429359,-139811241,-149586597,-137799118,-124729931,-127871896
062--Sugar Confectionery,-15016838,-8610704,-22134860,-27091670,-29004152,-30844849,-30853916,-34185421,-40994345,-51648755,-58439266,-64186637,-81807458,-86064475,-101970468
061--Sugars; Molasses And Honey,4611270,6402113,5387870,3865733,1019101,-355412,1986705,-2085540,-3074724,-571948,-4249475,-212396,-4167370,-5548970,-7999608
059--Fruit/Vegetable Juices; Unfermented,-26160831,-19295402,-12569354,2572024,1738143,291974,-68056,-831532,-102789,-2167508,-3234384,-2455190,-3978747,-8346498,687787
058--Fruit Preserved and Fruit Preparations,19480164,19160247,13445682,17340640,15558894,21238426,20662539,22290233,25264871,20470161,17410097,8260067,8606247,25581928,19990161
057--Fruit and Nuts; Fresh Or Dried,164941535,181571689,207903215,323113566,328049588,346867306,361208629,313138715,374041067,426108925,454743678,638099023,746079987,713251755,530286579
056--Vegetables; Roots And Tubers; Prepared Or Preserv,802578,1565386,-1932223,-3082502,-3761727,2950402,-744800,-11133441,-13670811,-12749188,-32402099,-31032873,-25390321,-29304464,-27583934
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,-6420341,-7847583,-8706405,-20135372,-24780050,-15506077,-29000710,-15894504,177087,-967219,13209150,-7513582,-9391205,-12800683,-15709142
048--Cereal Preparations,-48499063,-64609272,-71588846,-77750558,-84320299,-94888924,-106882914,-93017464,-97747413,-125038660,-141703501,-157625926,-162625036,-157853502,-161929370
047--Cereal Meals And Flours,128580,24533,133851,71690,150334,50339,-54555,-32253,-113920,33060,56725,-16649,-206124,-288909,23394
046--Meal And Flour Of Wheat And Meslin,12585563,33202,506816,-22823,-68542,-115152,2107384,871403,-149039,-168103,-68712,-113713,-133803,-74294,-54906
045--Cereals; Except Wheat; Rice; Barley; Maize,1782965,-1113761,-1423621,-926690,1483182,15379286,-6860828,-7444710,2963483,1446845,-3943193,-16385550,-16624379,1974761,-3298183
044--Maize (Not Including Sweet Corn) Unmilled,2368403,1666629,1165437,1081738,814867,2826758,13885288,3491357,19990959,16499458,1419006,1040348,1352463,1009494,1895008
043--Barley; Unmilled,0,-4220995,-10100,0,-10284,0,0,4080,-3212,0,-5773,-4720,-2886,3074,-10412
042--Rice,12262691,12906881,16846870,16028621,13895459,9441935,8985338,3647817,5001303,8160114,5323444,4890502,7443061,6268309,7823569
041--Wheat And Meslin; Unmilled,59339,-101505,-87394,-81268,-32366,-78625,95791,-77375,8650867,8202157,4760057,6526802,-77128,39977,62467
037--Fish; Crustaceans and Molluscs,-893595,-319319,-828030,1755195,-1433685,-537895,1380852,-2237522,-4782086,-5242435,-7786938,-9026799,-1498107,-5020463,-3522705
036--Crustacean,4700124,5472595,5766235,4938077,7394463,8681898,8760515,9627343,12292358,13116505,10138981,8297241,8763334,7709265,4994423
035--Fish; Dried; Smoked Fish,1455355,1327808,3321199,1969292,3526112,5922970,3500344,1445050,5082843,6442957,3157366,4257471,746994,534037,-2623495
034--Fish; Fresh,117766431,95791233,175709559,201130113,249414169,219521667,218827385,165733248,209740727,270119571,271156291,299136054,309401132,241985360,191411634
025--Birds' Eggs & Yolks; Fresh; Dried or Preserved,895422,1645016,470445,2782949,3827586,10041497,15174926,21876598,22470637,13642483,11512392,2734204,2803770,-5093986,753909
024--Cheese And Curd,-32257505,-24877864,-29893972,-23607364,-20153734,-18949135,-14549207,-12808728,-14440674,-15769953,-14748754,-21490469,-33571047,-41260642,-39744084
023--Butter And Other Fats And Oils,-198154,11348,-125423,-1078352,-1043107,137556,-1043710,-1034688,-1141278,-1027031,-703060,-437241,-432685,-6581458,-9171341
022--Milk; Cream; Milk Products Except Butter Or Chees,-8064779,-4309705,725552,956710,1792835,1984971,1250260,1027973,890331,-4199251,-17602966,-45154483,-12458411,-5342098,-10834932
017--Meat & Edible Offal; Prepared Or Preserved,232697,587111,372075,-195323,-345740,1073217,378413,1069136,1232956,4042398,4293856,3834191,5842935,4982928,-2868839
016--Meat & Edible Offal; Salted; Dried; or Smoked,-2926633,-3535514,-4199496,-4552923,-4932715,-2953140,-3141828,-3230454,-3365269,-4229613,-3355731,-3655768,-3988141,-2497766,-2574818
012--Other Meat & Edible Offal,7058957,13428973,4087996,8752184,6336684,5950410,9471908,5700577,5573072,6855249,6892779,6655262,5289910,5416925,2871871
011--Meat Of Bovine Animals,3108613,2365935,3267623,3874812,3862743,5550502,11033788,5960413,13289911,21634983,32813301,35029608,35120544,33279257,25012048
001--Live Animals,-30360786,-34159033,-30794939,-42622962,-58302207,-76193105,-42991222,-23891843,-12669104,-28672342,-83193231,-115358684,-136678678,-189066016,-203640632
