Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
654--Woven Fabrics Of Textile Material; Not Cotton Or,1660141,2198622,2841460,4260197,15426984,7569061,7764087,5457208,5727592,5741761,4188660,4880735,4910011,6223197,6588223
851--Footwear,4879916,4570772,6159490,6256243,6336786,7430800,11404638,12897678,8581131,9584763,10177005,12412857,9005957,4745220,6548950
431--Animal/Vegetable Fats/Oils Preparations,862787,809555,946806,749220,2650310,741784,8518560,1171470,5243406,11751039,29728766,26673466,51193366,21930785,6542708
048--Cereal Preparations,3718176,4442730,4611914,2223197,2670354,2465225,3948701,6220139,9340269,7177827,6338723,4378302,6564045,6862439,6236440
612--Manufactures Of Leather,4484753,4409567,4008881,5295644,5457844,5200364,4434231,4683028,4830191,5506804,6179678,6611776,6437683,5280800,6233431
572--Polymers Of Styrene,5378676,9697675,6405515,5036177,6860236,10220410,9772899,14096310,15294465,16112814,7362275,6208824,8263240,7917215,6056533
653--Woven Fabrics; Manmade Textile Material,13690492,8074556,7080271,6973278,10842583,15775375,16116342,7388108,9128342,7047464,6704640,10999859,8894913,6090918,5759053
659--Floor Coverings,6695093,7723812,7664670,10173190,8867280,10157247,9512135,7716310,6558357,6335222,5276501,5589062,4639073,4325837,5715976
074--Tea And Mate,180324,839208,316583,317226,470183,1190389,1601587,1612970,2064093,3694271,3522553,3575520,2927918,3162675,5578434
662--Clay And Refractory Construction Materials,7272675,6908345,7259879,12670247,16963232,10116697,13480135,11874309,14120209,9275031,11843933,3871782,11380448,5306829,5468877
693--Wire Products & Fencng Grills,8911922,7448453,9658649,8965175,11332158,17258836,15042196,13806567,14857473,11612143,9692969,8155318,7796897,6839051,5441442
269--Worn Clothing & Other Worn Textile Articles,1062483,1518118,1121817,1184700,914063,2221814,3149513,2442558,3367685,3123851,5149349,4409580,6083634,6767504,5370463
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,2205630,4636299,4675643,5040046,3102551,4473750,3083820,3124416,3891689,3564825,2874519,6627357,5152572,7202424,5299021
532--Dyeing & Tanning Extracts,1016357,629917,1553042,4017316,11959331,17037088,11000155,3525617,4431600,7057186,4841290,5947933,7452477,8125117,5197559
059--Fruit/Vegetable Juices; Unfermented,5930858,3046687,10819842,10352324,6400497,4841625,5913774,2838449,4142474,3879976,4692822,6477558,5540435,4748385,5131304
036--Crustacean,5033123,5472595,5766235,5010065,7394463,8713178,8868284,9659383,12594818,13180425,10163716,8305252,8763334,7709265,4994423
061--Sugars; Molasses And Honey,6259429,8880655,8005370,6650280,4610121,6123497,9400871,6934192,6942286,9542318,6699167,8997286,5398792,4014917,4909735
422--Fixed Vegetable Fats & Oils; Crude,4155702,4616834,4850535,4147049,3074682,3685070,5567970,3814705,7434823,3056462,3439642,2485737,5051787,4368965,4777926
611--Leather,3780876,4137368,4706981,5683844,6774392,8944534,6241189,4129690,8133952,11936344,7024472,8091958,17969159,10398430,4656353
591--Insecticides; Disinfectants,10234677,6032487,8108231,10617407,15019972,11502333,24814660,28306884,19061617,25445221,33193194,26897278,75883520,23580934,4507454
266--Synthetic Fibers Suitable For Spinning,20742771,17992266,11972377,5964136,7454406,7788455,4057509,3188942,6898786,16574408,2734998,3669755,4862559,4120039,4347728
122--Tobacco; Manufacturing,21925496,21547399,19663780,11425560,13818684,8609789,11964369,2404368,2769360,3415983,2286038,10857204,5040330,3642159,4220250
655--Knitted Or Crocheted Fabrics,3416678,3959076,3936947,8025160,16815686,10420342,11818292,8681342,3605645,3112626,3266454,3376275,4196375,2825688,4089943
673--Iron & Nonalloy Steel Flat-Roll Products,1570228,910907,2674736,40308342,2329873,13511211,18378202,5044966,4589055,12308983,3222594,1785234,3837712,4911658,4070412
111--Nonalcoholic Beverages,372819,340326,536824,1894162,907279,3703674,2688297,2713712,4118665,5165082,5464371,5304254,3846883,4609550,3921191
022--Milk; Cream; Milk Products Except Butter Or Chees,391574,449500,1362756,1042069,2151094,2821592,3109006,1307789,1887381,1641930,3015107,2244270,2452959,5260059,3865818
562--Fertilizers (Except Crude),4302853,3422683,3656296,3483263,1487947,4398392,3306679,2567079,3589192,5951258,2072241,3885450,2634938,2504753,3808094
282--Ferrous Waste & Scrap,4375950,3099942,7621067,3366633,3910785,1933300,5082708,2646325,3749278,3557882,4580567,4898104,4070494,2604310,3745069
961--Coin (Other Than Gold Coin),556119,814493,789084,186466,2057442,6483036,2719633,1565902,29109245,39827742,5412527,4709804,5585831,10508368,3335425
841--Men's Or Boy's Coats; Jackets Etc; Not Knit,2513260,2190515,2024277,2976576,3422562,2184328,2922905,3038084,3566377,3851402,3619338,4505211,4073653,3653802,3193634
277--Natural Abrasives (Inc Industrial Diamonds),5324745,6221096,13966357,2901993,2763900,2063318,1995345,1245309,2449469,3145107,2063555,1597507,2078927,2274536,3102642
062--Sugar Confectionery,9896652,13677809,4187422,2755587,2907679,4513109,5384885,4062492,3560675,3025201,2354930,4517692,3303219,3741865,3010535
012--Other Meat & Edible Offal,7496349,13784633,4087996,9071007,6717428,5950410,9611714,5950613,5573072,6855249,6892779,6655262,5356640,5416925,2995735
091--Margarine And Shortening,59624,169297,160739,93309,439983,651150,985198,978818,1645831,2254302,2925166,2575061,3239288,3028554,2857981
672--Iron Or Steel & Semifinish Products,2381599,3337769,4499008,4005872,7745708,11650610,7518141,4844172,5244072,6468652,5841253,4855016,3976778,2561162,2634488
652--Cotton Fabrics; Woven,5530762,6238291,6177549,2835046,4113051,4881894,5787709,4955788,5983344,7514243,7757231,6810447,6568520,3644556,2265251
025--Birds' Eggs & Yolks; Fresh; Dried or Preserved,906669,1653389,1226150,3397937,4476522,10469825,15622244,22308515,22574582,13859941,11621556,4117427,5037377,6313822,2055484
045--Cereals; Except Wheat; Rice; Barley; Maize,1782965,1749655,2626539,1546330,1483182,15379286,17409672,2995142,2963483,3921409,3086580,2287229,2049195,2037154,2008321
044--Maize (Not Including Sweet Corn) Unmilled,2368403,1666629,1167987,1081738,814867,2826758,13894529,3491357,19990959,16499458,1419006,1882929,1352463,1009494,1940653
666--Pottery,1799890,1648023,1595293,943521,1491680,2763283,2985219,1254853,3309641,2109852,1619182,2104808,1553912,2712686,1937678
212--Furskins; Raw,6393693,7310649,9831211,4906369,4742252,6055378,12485114,2939577,4781081,8240624,5066708,12178441,12604666,1685955,1926695
421--Fixed Vegetable Fats & Oils,2614830,3056939,8132755,12695819,47896202,11495770,24757516,219585,645333,26705225,45231841,44917669,3960566,1233974,1890088
843--Men's Or Boys' Coats; Jackets; Knitted,1952618,1490102,1093688,1779816,2270042,2259944,3527615,5028186,3433717,2609994,2363202,2541008,1909978,2316873,1868055
661--Lime; Cement & Fabricated Construction Materials,780015,1454471,1182136,854903,403340,1974142,1628441,562655,710370,627825,1475523,1420983,1179590,2082137,1786553
017--Meat & Edible Offal; Prepared Or Preserved,922583,1026414,812013,319942,212412,1478416,580008,1498718,2474153,5662400,5867801,5983414,9128757,9168260,1622506
075--Spices,4033651,1302917,1947231,1289892,1328150,901043,1330922,891022,739723,1084356,1521395,1230885,2637204,1145855,1447716
812--Sanitary; Plumbing & Heating Fixtures,2862127,3713564,3610052,2387094,2764354,3781839,4730985,5081980,4095040,1982777,1141734,2120852,2096451,1499768,1424980
024--Cheese And Curd,976161,1079496,810347,608635,1383434,3051550,2626766,2608915,2084288,1649539,1769410,2083078,2686805,3078126,1260379
231--Natural Rubber In Primary Form,501489,1303016,699786,646111,848953,271141,324986,1903130,3735605,1147340,819463,429988,1311929,906658,1062703
783--Road Motor Vehicles,2146954,2109684,6709167,929783,3934931,5215698,31227629,1167910,996904,1011255,793437,631003,2612681,1456229,1016744
072--Cocoa,1255187,694095,2005009,927254,2506654,2173072,1511598,1878769,11752939,1492973,1774764,1247608,2559089,980374,895592
686--Zinc,1384215,1050688,2178189,1660578,8083040,10797015,7566816,5053000,2748239,3927348,1588069,1137142,832517,507497,862027
711--Steam Or Other Vapor Generating Boilers,2868651,3278034,1329150,1468926,2520195,2323787,1923422,6638333,1341134,1891926,2225353,2320309,1199554,594822,788594
579--Waste; Parings And Scrap; Of Plastics,3031126,1733711,1797307,2955569,2141549,1914861,3366948,729074,870726,1515492,729991,2209241,1072119,622228,654646
035--Fish; Dried; Smoked Fish,1610886,1340368,3348236,2005128,3585856,6015674,4199631,1651603,5164247,6618164,3170641,4759387,2192763,2305910,441471
685--Lead,2659095,2161248,2752882,2778755,6084900,1057641,1391443,103409,511097,582744,407494,509516,834376,655771,425933
284--Nickel Ores & Concentrates,163858,165735,304647,436999,538252,893516,3083334,589205,657077,1732777,888341,280291,430565,536177,325212
677--Iron & Steel Rails & Railway Track Const Material,453892,158735,360849,151348,204026,296353,2407393,1193676,906781,866278,333298,335052,96560,1243126,316370
633--Cork Manufactures,1089659,1811190,2572014,4751703,5008809,6088622,7230402,2616076,2536611,2167514,89925,236896,200553,263615,288328
047--Cereal Meals And Flours,128580,41027,133851,73712,155449,81356,203284,163029,87853,158942,146343,202268,154302,112202,284971
687--Tin,593352,422086,450788,373726,908364,388444,299610,231847,224665,509254,317108,824352,162722,171482,282800
322--Briquettes; Lignite And Peat,61961,45209,55192,25303,45170,1763030,466368,31222,444781,52447,242912,202594,367352,285913,255830
246--Wood In Chips Or Particles And Wood Waste,214672,481635,214872,126691,231035,815417,345747,202727,581848,660514,1031307,8747597,4665841,475022,253109
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,515160,2462896,177689,135012,218787,637661,221016,415002,972230,526636,773008,693074,809868,237065,229456
613--Furskins; Tanned Or Dressed,1209718,1552099,3604233,4317048,4307460,1633501,1350573,325025,399472,1337499,868456,729330,302409,149976,211054
272--Fertilizer; Crude,0,0,0,0,0,0,248108,355934,827104,255504,233630,1124246,414546,141455,136650
268--Wool & Other Animal Hair,2156900,4720812,2785508,3983236,3095372,3868290,3400974,75738,73566,93158,5880,631131,15771,31779,131251
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,49796,24316,7206,929306,1594625,2505809,47289,91320,29795,0,42112,111865,271459,449839,130867
023--Butter And Other Fats And Oils,0,220728,117438,4179,35120,1147863,436708,0,15538,26261,241658,1369360,1018531,0,103585
344--Petroleum Gases & Other Gaseous Hydrocarbons,210933,496644,335993,225439,1739297,979151,545410,810587,149733,184893,97531,191933,112666,75114,86158
043--Barley; Unmilled,0,0,0,0,0,0,0,4080,0,0,0,0,0,14018,69885
244--Cork; Natural; Raw & Waste,0,0,24900,23204,44636,859886,127070,86342,52365,64572,135308,112512,105049,132013,67457
046--Meal And Flour Of Wheat And Meslin,12676786,74680,574275,17920,0,4997,2313450,987475,0,15678,69512,18329,5913,9408,64201
041--Wheat And Meslin; Unmilled,216065,74300,71205,4400,35800,29918,133799,74508,8691868,8344899,4880090,6651605,20688,39977,62467
265--Vegetable Textile Fibers,135862,443840,20424,10105,0,3125,0,53600,12119,5400,5445,0,0,9528,24111
245--Fuel Wood & Wood Charcoal,10798,3297,19169,0,0,0,2850,1060012,43744,42563,120272,86351,329166,173612,22208
261--Silk Textile Fibers,29372,0,2681,5000,15000,19084,4254,19380,0,0,15416,16282,22376,3817,20947
274--Sulfur And Unroasted Iron Pyrites,14564,20160,0,0,16480,0,3475,2962,49735,22023,28868,0,14702,0,20593
283--Copper Ores & Concentrates,380210,15746,186382,86418,3021,9374679,744029,604860,562951,4303920,2588371,91165,132235,22404,15305
883--Cinema Film; Including Sound Track,554096,368960,346211,318407,325751,192511,728499,238853,303526,309408,204347,56504,79430,24908,11235
016--Meat & Edible Offal; Salted; Dried; or Smoked,30504,13744,340310,168359,60768,29041,65282,12494,51297,29839,280392,90531,106228,284283,4008
992--EXPORTS NOT OVER $10;000(TO 3/98) $20;000(4/98)NIK,15113368,8010114,4729046,4994816,3002118,2235615,888789,0,0,0,0,0,0,0,0
345--Coal Gas; Water Gas and Producer Gas,0,0,0,0,0,0,0,82375,0,0,0,10675,0,0,0
343--Natural Gas; Whether Or Not Liquefied,13522,0,0,0,0,27573,0,0,0,0,0,0,0,0,0
342--Liquefied Propane And Butane,6814,0,39392,14840,181280,257830,249600,165220,286478,113597,284899,6994925,8694,0,0
333--Crude Oil,41965,0,0,8802,0,0,0,0,0,0,0,0,10060580,0,0
325--Coke and Semicoke Of Coal,30101,0,0,0,5040,0,6720000,22487,0,8723710,0,534786,316272,0,0
281--Iron Ore And Concentrates,8254,0,3650,97038,29478,0,14949283,27459083,33419933,15052125,830052,4508851,9459,21750,0
264--Jute Textile Fibers,0,0,0,0,0,0,11424,0,0,111352,0,0,0,0,0
