Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,59585875,97437230,120195132,154114668,153853693,191141478,260071199,219780464,225181657,204271840,209012641,208634060,254294788,276364976,286338173
289--Ores & Concencentrate Of Precious Metal,64167448,48513869,86152713,131458105,359440419,609749116,566436968,251907799,351477149,699267818,608964156,531426424,295396364,290873936,276561588
575--Plastics,140679714,145779637,199407528,224037333,259913602,287762212,287580783,247181053,349021163,385229604,344142542,354656084,348011420,304102092,263518253
034--Fish; Fresh,118101302,96149064,176059684,201310254,249679260,219932387,219062340,166075584,210094357,270785307,271342140,300456366,330701364,283029664,254917217
321--Coal; Pulverized Or Not,30038688,15362217,24453136,58945436,144848530,157722078,229919190,238935317,315176366,602329242,598543570,504801955,442062016,275836478,249964956
751--Office Machines,17579846,13032849,18972713,32673270,37082608,200023810,158019343,115781095,101540329,147052416,210124317,232781413,206919566,210712478,241514918
251--Pulp And Waste Paper,222132253,205320952,207583204,248962798,245687719,291361997,376794864,278748116,320641327,292597032,309459696,270409938,259592202,228734166,230292320
771--Electric Power Machinery; And Parts,125229380,127861568,134041514,151819507,186087957,191244659,223973877,172126461,191060364,210568433,204459762,204677902,202102978,210196685,226417661
745--Nonelectrical Machinery and Tools,172193686,190153553,234869309,240143255,265261146,259392451,285410505,214633176,251524446,252568870,214133980,230064371,251106483,222436110,224734751
525--Radioactive And Associated Materials,49321226,86211895,40325308,45878185,44206017,70495047,23149938,141608165,47663574,62483643,83420190,31005448,134121476,265345176,219860463
718--Power Generating Machinery & Parts,32726598,36707572,40087367,37693173,57941731,83882956,107905179,90142116,101239959,189143618,156176745,198602976,184271098,194894811,218847573
898--Musical Instruments And Accessories,172660334,170435068,186108506,200950568,223217963,251029831,249191325,218059572,210959567,206994609,206257539,197483925,194013732,198273073,208537415
773--Equipment For Distributing Electricity,68333836,75003332,88434434,121730362,133697501,133676037,142121754,122037743,140405015,180020112,179991328,219776649,208518844,224414004,206956234
695--Tools For Use In The Hand Or In Machines,130840502,150092462,176908444,153769450,166601999,204872191,226344364,152158484,191256253,212997774,200369662,201803526,245151829,231138956,205567477
950--Coin Including Gold,772340,1016028,4301814,8024820,6336104,40793409,60172982,77671296,160427281,354974760,430933819,498995472,337079080,329402038,198851119
112--Alcoholic Beverages,76951136,92375409,108033402,103513770,125484779,140902720,149821525,135815072,175515541,174858467,178310889,253742036,202981921,223525134,194105239
721--Agricultural Machinery (Excl Tractors) & Parts,87872409,96316786,98651883,157401952,167052730,206690438,258001648,162283179,160462815,182464109,220563291,192952862,170606937,163141368,179689792
334--Oil (Not Crude),5652280,6502282,8342862,5270077,154184622,59235545,350385791,95635293,574751951,737186968,436398800,248376538,193118365,213530284,165108188
522--Inorganic Chemical Elements,88131907,101027728,131779046,199800564,260297407,319282424,449115181,344482136,391642063,360598913,216476743,179696286,272365750,134502865,164524868
748--Trasmission Shafts And Cranks,59912608,52096502,50185701,55478591,71384884,82853445,95034466,102120650,130030464,149601881,152128730,152330292,162311973,146512697,159273975
641--Paper And Paperboard,83507228,91849462,121809389,134700908,142184882,194339393,214261977,179959370,212046458,223630209,219551606,215093633,202393131,161582967,157073395
897--Jewelry; Goldsmiths' & Silversmiths' Wares,37246475,45226040,49909340,67406632,56210178,63672748,65464834,56727013,57102903,64378149,94190519,126816701,105101691,91851394,152268646
625--Rubber Tires and Accessories,40516333,48220420,60792307,47692228,52463497,74497592,121122659,46341430,71438457,89863728,52764991,48389150,43775112,39157593,147360927
288--Nonferrous Base Metal Waste & Scrap,40462007,17873760,38820570,36848391,118903556,78311984,75000805,49207334,88103450,160276547,210171630,207299024,271116804,192592982,143799872
533--Pigments; Paints; Varnishes And Related Materials,86991675,88653565,105107619,115545647,125083912,172189634,176792127,145652300,187138076,133048136,98603139,121647599,123769928,134719436,141616133
723--Civil Engineering & Contractors' Plant & Equipmen,143250840,203592514,225317745,221087856,246629879,384606399,382528128,198786125,202546895,226786047,243237340,211638948,179116689,157649090,141082667
891--Arms And Ammunition,124130361,83547468,141589079,166214524,138254270,119093629,144530661,116624129,197468395,122739063,119410178,90118588,189057754,126246611,140595945
894--Toys And Sporting Goods,107945270,102300332,109834583,89507061,85698564,110689023,112524905,115202863,118935213,124296772,132028142,144805276,145178244,145133348,134416397
971--Gold; Nonmonetary,23228990,32284181,20000729,133888112,170463772,238329713,292957254,123081980,328245695,315132051,269889058,498926319,270364325,105983142,126897757
694--Nails; Screws; Nuts; Etc;,26434702,30049143,33596378,42483614,58854535,53793572,61538457,54707333,73210923,85717605,81826825,89828584,117715282,117123175,124784568
514--Nitrogen-Function Compounds,90356952,79293111,84433007,124131481,109942342,133198699,118548322,84191880,92402101,99976626,99686113,102757479,136548586,127776763,122494878
749--Nonelectric Parts & Accessories Of Machinery,74380810,76682971,68615016,60689137,79785902,114916445,180375541,123146075,121105085,163876925,173959754,173722576,139917988,139779372,121935088
744--Mechanical Handling Equipment,81312224,75592882,117374835,140287103,182134173,197196682,182444715,109452161,102733763,122829311,111380786,130676408,118876955,138555594,120820738
882--Photographic And Cinematographic Supplies,116408863,117119484,144182286,65306077,70962565,92596353,82952649,151313922,169375145,149152060,134196473,113286657,105491196,111456697,117751001
511--Hydrocarbons & Specified Derivatives,58519801,59204940,65477336,37638852,260856077,256108234,238955812,56547940,225866518,175881214,156055999,126100379,131919561,132949540,114514173
574--Polyacetals and Epoxide Resins,31079368,26216476,33554932,37133000,55794468,103332420,108505194,76686019,121030301,138813251,85371168,92841637,98968916,94276180,114321977
746--Ball Or Roller Bearings,50115664,53126384,61852197,71860472,75957890,70179126,81624040,58637113,73907572,107659387,87370586,84594262,90543495,125849249,113595445
657--Special Yarns; Special Textile Fabrics; Etc.,90382562,88649301,89104917,85382615,102001091,111354133,120628270,99892608,118196808,148247434,144261923,133632778,129824840,122574203,111756365
722--Tractors,79937496,62325416,59499315,100433468,123822292,92442388,151028278,97926354,81394886,141373392,166552730,152754527,154226936,127282105,110741283
